danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity,listener_id
0.625,0.753,6,-5.983,0,0.166,0.436,0.00273,0.367,0.539,88.956,223299,4,Coming Down,47,Erica
0.583,0.913,7,-5.945,1,0.0401,0.00205,3.74e-4,0.164,0.659,95.991,230000,4,Boys Aside,0,Erica
0.787,0.655,6,-8.339,0,0.0431,0.238,1.71e-4,0.138,0.65,102.485,208653,4,Upside Down,61,Erica
0.498,0.702,0,-7.833,1,0.0401,0.0193,3.68e-6,0.0669,0.542,79.3,263213,4,Stand Up,56,Erica
0.69,0.714,7,-5.948,1,0.0338,0.0077,7.23e-5,0.191,0.489,112.009,187027,4,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",68,Erica
0.459,0.838,8,-4.73,0,0.0586,0.0281,0,0.0596,0.544,140.002,207288,4,What's It Like,0,Erica
0.133,0.606,0,-5.184,1,0.0429,0.0121,0.0583,0.0902,0.147,181.655,212958,5,Where We Come Alive,0,Erica
0.708,0.729,8,-7.618,1,0.0311,0.0675,0,0.165,0.562,117.003,157436,4,RACECAR,34,Erica
0.606,0.655,6,-6.328,1,0.402,0.139,0,0.103,0.696,159.824,236686,4,Do You Remember,47,Erica
0.774,0.537,1,-6.422,1,0.041,0.247,0,0.112,0.106,110.004,196493,4,Like Water,33,Erica
0.438,0.856,0,-4.158,1,0.0584,0.0268,6.27e-6,0.375,0.49,127.991,224520,4,Hurricane - Arty Remix,50,Erica
0.713,0.666,11,-6.128,1,0.0511,0.2,2.09e-5,0.137,0.277,112.015,209224,4,WESTWORLD,5,Erica
0.571,0.585,9,-8.392,0,0.0494,0.239,1.6e-4,0.133,0.291,113.973,258765,4,Drive,51,Erica
0.654,0.623,6,-5.273,0,0.082,0.253,0,0.144,0.401,123.996,234213,4,Close,65,Erica
0.623,0.843,0,-4.611,1,0.0853,0.0452,3.16e-5,0.0583,0.394,129.99,191400,4,Bad Dream,0,Erica
0.764,0.785,1,-5.486,0,0.259,0.0112,3.47e-6,0.56,0.633,122.872,183532,4,Handle iT,0,Erica
0.738,0.48,2,-7.749,1,0.0535,0.238,2.08e-6,0.314,0.258,90.991,263736,4,Flower Tattoo,12,Erica
0.877,0.558,1,-4.896,1,0.342,0.066,0,0.0745,0.493,157.027,226533,4,Womp Womp,51,Erica
0.698,0.633,8,-4.946,1,0.0597,0.0605,1.94e-4,0.0926,0.552,96.924,232187,4,All The Stars (with SZA),81,Erica
0.708,0.619,6,-9.883,0,0.342,0.483,0,0.0997,0.149,114.045,208421,4,Polyester Poppin',15,Erica
0.577,0.939,1,-1.352,0,0.108,0.0272,0,0.24,0.714,105.092,168613,4,(Fuck A) Silver Lining,50,Erica
0.597,0.768,0,-5.911,1,0.269,0.68,0,0.221,0.494,133.622,172375,4,Sun Lady (feat. Ol' soul & Emma),20,Erica
0.677,0.744,1,-4.512,0,0.0882,0.279,0,0.119,0.531,145.928,204785,4,Hold Me Down,55,Erica
0.564,0.781,0,-5.837,1,0.038,0.019,0,0.362,0.501,93.991,145559,4,Hurt,0,Erica
0.599,0.629,8,-7.493,0,0.349,0.0712,0,0.347,0.39,151.732,238567,4,Long Sun,35,Erica
0.636,0.537,0,-7.436,0,0.288,0.2,0,0.138,0.341,80.011,290869,4,Gold,8,Erica
0.693,0.821,5,-7.411,0,0.193,0.239,0,0.0816,0.729,96,190625,4,Boat to Bermuda,0,Erica
0.486,0.549,11,-10.183,0,0.401,0.0309,0,0.22,0.419,147.79,131274,4,GO FOR IT,15,Erica
0.568,0.861,11,-5.405,0,0.245,0.00184,1.8e-4,0.662,0.39,128.354,143984,4,S4YM,12,Erica
0.424,0.971,2,-4.027,1,0.0891,5.45e-4,0.0475,0.326,0.65,157.954,247760,4,Speed Queen,0,Erica
0.379,0.478,8,-9,0,0.0891,0.503,0,0.201,0.109,120.115,234030,4,Don't,26,Erica
0.628,0.751,1,-7.041,0,0.0991,0.0105,0,0.119,0.44,159.965,222013,3,Face My Fears (English Version),51,Erica
0.37,0.96,3,-4.162,0,0.0378,2.41e-4,0.0116,0.0563,0.717,89.428,224133,4,Welcome to Paradise,64,Erica
0.641,0.914,2,-4.798,1,0.05,0.0799,6.54e-5,0.132,0.723,107.996,208400,4,Just A Girl,0,Erica
0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,169354,4,Let Me Down Slowly,81,Erica
0.837,0.684,4,-10.356,0,0.12,0.1,0,0.114,0.562,120.032,234069,4,Do What You Love,0,Erica
0.679,0.526,4,-7.641,0,0.172,0.197,0,0.0792,0.231,105.133,221714,4,She Bad,0,Erica
0.575,0.758,1,-5.029,0,0.0618,0.0954,0,0.394,0.493,144.107,182623,4,Close To Me (with Diplo) (feat. Swae Lee),60,Erica
0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-6,0.263,0.507,112.035,187027,4,Thunderclouds,0,Erica
0.852,0.604,0,-4.569,1,0.0642,0.0503,0,0.327,0.667,94.762,227547,4,It Wasn't Me,56,Erica
0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-6,0.0936,0.533,136.041,201661,4,Without Me,73,Erica
0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177667,4,3 Nights,71,Erica
0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,209773,4,La Di Da,54,Erica
0.689,0.412,7,-7.523,0,0.0301,0.488,1.6e-4,0.0659,0.537,126.754,184060,4,Trampoline,60,Erica
0.683,0.562,0,-10.315,0,0.0605,0.086,0.279,0.12,0.149,98.027,229413,4,Better,41,Erica
0.555,0.487,11,-6.48,1,0.0309,0.374,0,0.158,0.576,134.044,198787,4,Come Fly with Me,44,Erica
0.459,0.267,0,-8.948,1,0.0294,0.807,0,0.119,0.342,63.378,229963,4,La vie en rose (feat. Cécile McLorin Salvant),53,Erica
0.782,0.387,0,-11.745,1,0.0748,0.532,0.127,0.114,0.338,79.987,144000,4,Creator,6,Erica
0.628,0.778,9,-5.604,1,0.0519,0.307,0,0.0888,0.576,90.016,385656,4,Just Love Ngayong Christmas,0,Erica
0.701,0.755,2,-5.82,1,0.0417,0.00363,7.95e-4,0.121,0.116,95.036,222307,4,What's Up Danger (with Black Caviar),67,Erica
0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4,Sunflower - Spider-Man: Into the Spider-Verse,79,Erica
0.766,0.881,9,-5.158,0,0.137,0.0166,2.3e-6,0.347,0.674,112.027,174893,5,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",56,Erica
0.724,0.6,10,-4.391,0,0.29,0.141,2.18e-4,0.104,0.466,86.984,196387,4,Invincible,56,Erica
0.728,0.727,2,-3.585,1,0.206,0.0128,0,0.0882,0.89,143.144,171467,4,Start a Riot,62,Erica
0.715,0.639,5,-5.017,0,0.0752,0.0622,0,0.157,0.151,149.996,205800,4,Hide (feat. Seezyn),71,Erica
0.567,0.651,5,-7.146,0,0.0554,0.0519,0,0.183,0.519,93.989,199147,4,Memories,54,Erica
0.871,0.751,6,-8.042,0,0.0788,0.00391,0,0.0853,0.787,139.984,178720,4,Save The Day (feat. Coi Leray & LouGotCash),51,Erica
0.764,0.725,7,-8.812,1,0.0576,0.463,5.91e-6,0.109,0.0794,100.063,177653,4,Let Go,55,Erica
0.443,0.623,0,-6.717,0,0.0718,0.0468,0,0.247,0.156,79.365,233000,4,Scared of the Dark (feat. XXXTENTACION),66,Erica
0.58,0.935,6,-4.847,0,0.293,0.176,0,0.514,0.666,129.173,219400,4,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",58,Erica
0.585,0.941,10,-3.278,0,0.145,0.03,8.41e-6,0.196,0.45,130.024,153773,4,Way Up,56,Erica
0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,211360,4,Home,55,Erica
0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800,4,Eastside (with Halsey & Khalid),71,Erica
