danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity,listener_id
0.498,0.512,1,-8.201,0,0.053,0.519,0,0.106,0.491,166.926,223547,4,Willy's Song,49,Erica
0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,214240,4,Vienna,74,Erica
0.863,0.657,7,-7.295,1,0.105,0.264,0.00619,0.0713,0.829,115.958,235813,4,No Roots,0,Erica
0.604,0.337,6,-13.08,1,0.0283,0.923,0.338,0.113,0.39,95.205,145227,4,Black Bird,50,Erica
0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,181133,4,Dancing in the Moonlight,69,Erica
0.816,0.706,3,-6.793,1,0.0617,0.352,6.43e-6,0.0956,0.336,119.975,190000,4,My Soul Is Lemonade,41,Erica
0.71,0.657,3,-4.252,0,0.0377,0.589,0,0.0932,0.746,96.936,197747,4,All That Glitters,49,Erica
0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,308627,4,Glory Box,68,Erica
0.519,0.441,4,-14.178,1,0.0353,0.0204,4.53e-4,0.076,0.25,81.334,234973,4,Where Is My Mind? - Remastered,75,Erica
0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480,4,High and Dry,71,Erica
0.607,0.294,5,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,303973,4,Roads,59,Erica
0.517,0.509,3,-9.917,1,0.137,0.407,0.311,0.251,0.37,74.98,96343,4,Soul Mates,56,Erica
0.864,0.482,8,-16.789,0,0.225,0.664,1.68e-5,0.269,0.964,133.234,81038,4,love,33,Erica
0.726,0.364,4,-12.019,0,0.105,0.0386,0.784,0.371,0.834,76.977,100562,4,Bebop,24,Erica
0.749,0.488,11,-8.556,1,0.181,0.86,1.64e-6,0.183,0.326,134.008,168044,4,Vamos Fugir,0,Erica
0.378,0.772,4,-7.648,0,0.0625,0.0344,4.62e-6,0.979,0.645,130.205,284293,4,Time Of The Season,11,Erica
0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,160191,4,telepatía,78,Erica
0.672,0.464,6,-5.624,0,0.037,0.43,0,0.284,0.271,92.069,200742,4,Never Seen The Rain,46,Erica
0.288,0.291,7,-13.493,1,0.0331,0.933,0.54,0.228,0.0706,123.856,232360,4,Melodies & Desires,23,Erica
0.818,0.461,6,-6.475,0,0.292,0.598,1.35e-4,0.108,0.532,88.006,188053,4,Queen Tings,56,Erica
0.621,0.849,3,-4.243,0,0.0489,0.00468,5e-6,0.328,0.875,130.979,168018,4,Sway With Me (with GALXARA),55,Erica
0.737,0.678,6,-7.011,0,0.0962,0.114,0.157,0.123,0.698,102.051,231826,4,Fire for You,68,Erica
0.646,0.471,10,-9.247,1,0.157,0.122,0,0.125,0.455,170.084,232813,4,I AM WOMAN,69,Erica
0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,222773,4,If I Die Young,64,Erica
0.587,0.35,2,-10.954,1,0.0318,0.74,0,0.156,0.17,74.479,259453,4,Whiskey Lullaby (feat. Alison Krauss),59,Erica
0.7,0.649,7,-7.421,1,0.0348,0.0918,0,0.0915,0.383,91.01,195174,4,My Day,31,Erica
0.609,0.868,1,-7.428,0,0.031,0.00136,0.628,0.161,0.529,136.975,302600,4,Will You Be? - CFCF Remix,19,Erica
0.617,0.384,5,-11.482,0,0.0917,0.0645,0.0347,0.077,0.0633,123.154,191220,4,Don't Go,0,Erica
0.515,0.534,6,-8.045,1,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747,4,Little Wing,68,Erica
0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-5,0.176,0.632,78.616,209829,4,Cradles,4,Erica
0.706,0.479,4,-14.496,1,0.0336,0.315,0.0214,0.104,0.838,123.013,261550,4,Dragonfly Collector,4,Erica
0.676,0.5,8,-6.878,1,0.0412,0.701,0,0.596,0.915,97.863,170611,4,Love Is Alive,33,Erica
0.391,0.692,1,-6.543,0,0.0462,0.0946,1.58e-5,0.191,0.56,180.029,246587,4,Colors,0,Erica
0.78,0.593,8,-8.226,1,0.37,0.397,0,0.0712,0.792,159.995,241398,4,Grateful,45,Erica
0.694,0.594,11,-5.362,0,0.0358,0.453,2.53e-6,0.0548,0.677,89.996,209753,3,Unholy War,49,Erica
0.632,0.938,8,-6.999,1,0.339,0.0467,0.0057,0.098,0.227,135.787,336440,4,Counting Bodies Like Sheep To The Rhythm Of The War Drums,47,Erica
0.55,0.751,10,-6.351,1,0.0563,0.00479,0.0161,0.0935,0.33,90,363382,4,The Prayer,26,Erica
0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,162373,4,California Dreamin' - Single Version,76,Erica
0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-5,0.409,0.0793,99.977,156600,4,Nevermind,71,Erica
0.661,0.635,10,-7.423,0,0.0645,0.204,0.00114,0.186,0.365,99.972,218480,4,Aloha,59,Erica
0.641,0.24,8,-19.107,1,0.047,0.979,0.866,0.234,0.32,99.02,252121,4,Flowers,57,Erica
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,For What It's Worth,74,Erica
0.714,0.338,4,-10.994,0,0.0456,0.93,0.00644,0.389,0.667,128.386,165067,4,Sunny,0,Erica
0.831,0.419,1,-7.381,0,0.44,0.359,0.00228,0.0959,0.339,84.983,207706,4,dreamin',48,Erica
0.682,0.394,8,-13.029,1,0.198,0.258,0,0.0724,0.446,107.987,220000,4,Downers - A COLORS SHOW,44,Erica
0.704,0.487,9,-6.407,0,0.0604,0.669,8.64e-5,0.111,0.313,121.726,301893,4,Tadow,71,Erica
0.546,0.508,0,-6.301,0,0.0266,0.0151,0.00109,0.116,0.385,153.721,223667,4,Daydream In Blue,14,Erica
0.795,0.717,5,-5.759,1,0.0933,0.0704,0.00456,0.229,0.767,94.023,196625,4,10 Years Ago,6,Erica
0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,211560,4,Beggin',81,Erica
0.622,0.783,4,-10.336,1,0.0372,0.0486,0.00105,0.615,0.663,111.609,147800,4,Angel Dream (No. 4),47,Erica
0.517,0.7,6,-6.568,0,0.0452,0.00375,0.0385,0.0634,0.518,179.986,176413,4,"I am not a woman, I'm a god",58,Erica
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-5,0.0842,0.564,113.253,240800,4,All Along the Watchtower,72,Erica
