danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.561,0.886,2,-2.778,1,0.082,0.0229,0.00177,0.111,0.15,140.07,200857,4,Prayers,30
0.529,0.995,6,-4.264,1,0.129,0.00866,0.0725,0.116,0.208,74.981,185600,4,Alien,41
0.498,0.842,9,-4.561,0,0.051,7.2e-4,0.614,0.067,0.143,140.011,296756,4,Womp Portal,54
0.876,0.498,10,-7.511,1,0.0478,0.0706,0,0.143,0.428,122.016,173119,4,Neverita,85
0.655,0.782,8,-6.825,1,0.392,0.0105,0.00367,0.12,0.372,167.003,164723,4,Center Core Never More,67
0.683,0.969,0,-3.29,1,0.171,2.75e-4,0.126,0.94,0.595,170.017,226932,4,"My Swisher Sweet, But My Sig Sauer",65
0.894,0.767,10,-4.695,0,0.137,0.0231,2.36e-5,0.574,0.412,144.077,140289,4,Champagne Face,68
0.759,0.833,11,-5.01,1,0.0779,2.6e-4,0.0573,0.178,0.522,140.026,183919,4,BUCKHEAD,66
0.787,0.889,2,-3.125,1,0.128,0.00951,3.22e-4,0.652,0.677,156.027,172400,4,Sorry for the Delay,66
0.642,0.937,7,-4.058,1,0.15,0.0147,0.632,0.12,0.528,123.994,224908,4,The Last Goodbye (feat. Bettye LaVette) - Hayden James Remix,53
0.637,0.849,4,-3.827,0,0.0394,0.0238,0,0.0686,0.774,74.041,201429,4,Your Song,45
0.662,0.96,10,-4.161,0,0.0393,0.0029,0.205,0.277,0.3,124.986,190080,4,Leave Me Like This,66
0.767,0.878,8,-4.581,1,0.0648,0.0249,0.0294,0.147,0.401,125.018,196797,4,Hannah (the sun),46
0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-6,0.176,0.744,151.991,196413,4,Un Coco,80
0.633,0.395,8,-9.638,1,0.0857,0.692,2.22e-4,0.108,0.123,138.023,314075,4,Nikes,68
0.88,0.483,6,-6.419,0,0.248,0.515,0,0.159,0.806,125.024,247972,4,LIE TO ME,41
0.789,0.665,9,-5.201,1,0.0665,0.00775,0,0.109,0.324,127.914,270747,4,Missed Calls,47
0.616,0.581,1,-6.637,1,0.516,0.186,0,0.116,0.676,82.812,203378,4,Can’t Punk Me (feat. EARTHGANG),58
0.559,0.243,1,-12.453,1,0.0326,0.925,0.935,0.108,0.162,69.941,213000,4,Ylang Ylang,61
0.644,0.728,9,-8.396,0,0.029,9.88e-4,0.0279,0.473,0.607,132.488,235360,4,El Mañana,60
0.688,0.321,10,-10.827,1,0.0305,0.0451,0.00132,0.0939,0.0485,132.001,201004,4,Cocoon,55
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-5,0.417,0.549,159.94,184516,3,Pink + White,82
0.688,0.657,9,-8.551,1,0.219,0.00972,3.38e-6,0.866,0.734,87.183,247533,4,"Diesel Fluid (feat. Method Man, Trife Diesel & Cappadonna)",35
0.823,0.561,7,-7.33,1,0.322,0.00497,7.76e-5,0.142,0.561,91.979,158133,4,"As High as Wu-Tang Get (feat. Ol' Dirty Bastard, GZA & Method Man)",50
0.787,0.72,7,-7.569,1,0.313,0.223,0,0.633,0.521,121.003,253467,4,"Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)",55
0.593,0.879,7,-3.283,1,0.489,0.0413,0,0.0846,0.842,159.557,200000,4,On That Sht Again (feat. Ghostface Killah & RZA),37
0.826,0.566,10,-10.747,0,0.311,0.199,0,0.356,0.655,99.131,216133,4,"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",63
0.677,0.933,6,-3.617,0,0.36,0.216,0,0.696,0.528,107.585,250827,4,"In the Hood (feat. RZA, Masta Killa, Inspectah Deck & Streetlife)",37
0.912,0.372,10,-11.427,0,0.334,0.0567,0.01,0.11,0.445,92.582,197200,4,After the Laughter Comes Tears - Tearz Vocal,44
0.63,0.846,5,-4.372,0,0.265,0.559,1.59e-6,0.482,0.742,84.99,204840,4,Do the Same as My Brother Do (feat. RZA),34
0.699,0.676,7,-5.837,1,0.0935,2.3e-4,0.971,0.0368,0.869,82.53,293827,4,Slow Blues - Instrumental,39
0.585,0.786,11,-6.483,0,0.0957,0.019,0,0.139,0.687,96.132,279773,4,Say What You Want (All Day Every Day),29
0.635,0.674,4,-6.771,0,0.342,0.015,1.01e-5,0.201,0.467,102.174,289733,4,"Severe Punishment (feat. U-God, GZA, Raekwon, RZA & Masta Killa)",43
0.846,0.875,7,-3.575,1,0.22,6.21e-4,2.39e-4,0.644,0.198,89.966,202667,4,Lesson Learn'd (feat. Inspectah Deck and Redman),42
0.503,0.755,1,-4.811,1,0.265,0.0307,0,0.266,0.807,79.422,136440,4,Molasses (feat. RZA),55
0.89,0.326,8,-15.409,0,0.382,0.158,1.65e-4,0.12,0.333,104.89,279227,4,"Da Mystery of Chessboxin' (feat. Method Man, U-God, Inspectah Deck, Raekwon, Ol' Dirty Bastard, Ghostface Killah & Masta Killa) - Radio Edit",31
0.794,0.627,11,-9.431,1,0.36,0.233,0,0.35,0.518,87.554,251467,4,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",60
0.934,0.459,1,-7.654,1,0.189,0.0516,0,0.222,0.697,103.04,239547,4,Got Your Money (feat. Kelis),64
0.753,0.724,8,-6.524,1,0.331,0.37,0.00124,0.431,0.697,102.988,286653,4,Iron Maiden,46
0.57,0.774,1,-3.677,0,0.25,0.32,3.32e-4,0.199,0.229,65.964,244293,4,Bounce,57
0.63,0.782,8,-5.44,0,0.132,0.0828,0,0.034,0.418,140.144,247947,4,Ayo Technology,65
0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,232467,5,Carry Out (Featuring Justin Timberlake),65
0.975,0.711,8,-3.904,1,0.0632,0.168,5.52e-4,0.0799,0.815,110.621,234027,4,Give It To Me,77
0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,179120,4,The Way I Are,78
0.722,0.745,4,-6.059,0,0.0536,0.151,6.26e-6,0.337,0.607,95.021,309947,4,I'll Be There For You/You're All I Need To Get By - Puff Daddy Mix,57
0.827,0.488,11,-5.167,0,0.305,0.303,7.3e-4,0.0759,0.638,78.999,204549,4,That's Life,44
0.867,0.538,2,-16.183,1,0.361,0.242,1.75e-5,0.316,0.781,158.328,249933,4,Boombastic,67
0.837,0.736,10,-8.367,0,0.378,0.225,0,0.0549,0.905,104.907,234093,4,The Jump Off,51
0.764,0.744,1,-2.34,1,0.181,0.0109,1.22e-4,0.318,0.511,88.426,262213,4,Welcome Back,50
0.686,0.737,1,-13.267,1,0.449,0.297,0,0.0809,0.801,99.157,167093,3,Put Your Weight on It,11
0.808,0.765,6,-7.363,0,0.302,0.00916,1.96e-4,0.0515,0.761,92.044,254933,4,Livin' Proof,48
0.927,0.427,10,-8.304,0,0.391,0.0555,6.92e-4,0.241,0.652,95.23,215267,4,Get A Hold,50
0.782,0.597,1,-6.399,1,0.335,0.0568,0,0.582,0.528,94.631,243133,4,Give Up the Goods (Just Step) (feat. Big Noyd),56
0.773,0.581,8,-8.466,1,0.432,0.0352,0,0.485,0.711,94.093,203067,4,Find a Way,60
0.552,0.731,1,-7.497,1,0.509,0.0946,0,0.222,0.847,171.942,154480,4,Smoke Buddah,54
0.769,0.364,7,-14.337,1,0.415,0.158,0.0131,0.404,0.241,96.261,181627,4,Hippa to da Hoppa,45
0.897,0.466,10,-9.053,0,0.203,0.187,1.35e-6,0.0757,0.884,100.01,223133,4,Music (feat. Marvin Gaye),54
0.769,0.836,8,-4.15,1,0.244,0.0618,0,0.182,0.651,88.978,237720,4,Bucktown,53
0.562,0.764,0,-4.181,0,0.228,0.0481,0,0.415,0.777,80.277,155933,3,Macula's Theory,32
0.868,0.658,1,-8.945,1,0.318,0.0928,0,0.0846,0.769,94.125,164020,4,Nutshell,38
0.58,0.523,2,-9.779,1,0.0925,0.173,0.0647,0.334,0.488,89.964,206981,4,Time's Up,42
0.934,0.495,5,-7.483,0,0.346,0.0544,0,0.0934,0.836,101.781,221200,4,Street Talkin',58
0.891,0.607,10,-8.64,0,0.238,0.285,0,0.168,0.509,94.028,148053,4,Mind Playin' Tricks,46
0.891,0.319,4,-16.099,0,0.333,0.0933,1.04e-4,0.0482,0.687,92.649,284467,4,Smooth Operator,46
0.645,0.705,1,-5.008,1,0.299,8.13e-4,0,0.128,0.376,137.133,229670,4,"King's Dead (with Kendrick Lamar, Future & James Blake)",67
0.509,0.518,2,-10.208,1,0.0304,0.0853,5.84e-5,0.338,0.248,81.042,213560,4,"Right Here, Right Now (feat. Taska Black)",31
0.774,0.531,11,-7.176,0,0.0446,0.0595,0,0.0409,0.966,142.001,242333,4,Forever Loving Jah,56
0.778,0.377,5,-7.97,1,0.0839,0.527,0.0174,0.0865,0.84,77.368,229240,4,Gotta Find a Way,38
0.729,0.533,5,-9.325,1,0.0705,0.582,2.16e-5,0.122,0.79,75.052,206173,4,Have Some Mercy,37
0.855,0.473,11,-9.846,0,0.146,0.0719,2.71e-5,0.0795,0.682,139.175,218400,4,"Roots, Rock, Reggae",62
0.577,0.697,7,-6.004,1,0.28,0.203,0,0.113,0.665,81.945,171619,4,Skyline Drive,34
0.377,0.27,7,-10.477,1,0.0765,0.471,0.829,0.103,0.197,75.774,140629,4,Home,37
0.634,0.75,11,-3.973,1,0.0908,0.124,0.0964,0.291,0.168,95.106,207158,4,SOOTHSAYER,40
0.571,0.872,6,-4.495,0,0.0396,0.0444,3.26e-4,0.172,0.11,135.015,284440,4,Loneliness,23
0.751,0.746,10,-5.33,1,0.117,0.199,2.41e-6,0.117,0.309,167.993,180720,3,Too Young,35
0.569,0.581,8,-5.494,1,0.0343,0.212,0.00769,0.149,0.208,127.931,174387,4,S.O.S,58
0.686,0.667,2,-7.284,1,0.426,0.296,0,0.218,0.667,77.977,178292,4,Heaven’s EP (with J. Cole),62
0.534,0.288,10,-13.232,0,0.0331,0.195,5.21e-5,0.182,0.516,139.922,164571,4,Stevie Doesn't Wonder,69
0.934,0.61,4,-8.639,0,0.296,0.292,0.00315,0.0884,0.505,120.024,204000,4,LORD FORGIVE ME,44
0.487,0.369,11,-13.424,0,0.0406,0.736,3.75e-5,0.0925,0.106,183.114,289307,4,Gooey,66
0.531,0.902,5,-2.886,1,0.111,0.46,6.36e-5,0.124,0.366,94.009,219587,4,Diamonds + And Pearls,47
0.595,0.913,9,-6.225,0,0.0442,0.038,0.838,0.109,0.29,125,208359,4,Cinecittà,46
0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-5,0.112,0.72,210.164,213573,4,Hell N Back,74
0.793,0.841,8,-5.726,0,0.0402,1.16e-4,0.924,0.109,0.233,125.008,424320,4,Defect,19
0.764,0.672,7,-5.947,0,0.0293,0.072,3.32e-6,0.0806,0.789,129.049,136614,4,Good Ones,63
0.576,0.848,9,-5.935,1,0.0333,0.00161,0.00144,0.11,0.532,130.026,277433,4,Dancing In The Shadows,43
0.77,0.482,0,-9.796,0,0.0903,0.308,0.0802,0.0927,0.189,120.006,230040,4,Numb,52
0.679,0.915,0,-10.554,1,0.0458,0.00992,0.795,0.0925,0.106,124.005,389801,4,UUUU,54
0.406,0.401,3,-15.653,0,0.413,0.66,0,0.318,0.518,72.947,295776,4,"Don't Ask, Don't Tell (feat. redveil, Sam Truth & Glen the Saiyan)",41
0.624,0.966,6,-3.155,0,0.041,0.0729,4.84e-6,0.181,0.758,124.984,182463,4,Better (feat. Teddy Swims),62
0.645,0.544,6,-7.185,0,0.0346,0.0746,0.621,0.107,0.131,133.986,194186,4,Walk Thru Water,41
0.6,0.931,1,-6.864,1,0.0973,0.00783,0.00149,0.115,0.304,134.868,157440,4,"They Want It, But No",57
0.766,0.539,7,-4.927,1,0.0479,0.402,0,0.104,0.888,120.175,188501,4,Sexy Villain,61
0.563,0.44,9,-11.943,0,0.0822,0.286,0.683,0.269,0.213,120.009,276373,4,TERRITORY,64
0.502,0.641,1,-6.271,1,0.467,0.269,5.01e-6,0.197,0.212,75.008,268667,4,"Pro Freak (with Doechii, Fatman Scoop)",57
0.705,0.712,6,-6.156,1,0.0385,0.0102,8.55e-4,0.1,0.62,97.512,299960,4,Little Dark Age,78
0.891,0.586,11,-4.665,1,0.121,0.0833,0,0.213,0.954,130.012,134548,4,"I'm Good Luv, Enjoy.",67
0.435,0.768,6,-5.352,0,0.201,0.0857,2.31e-4,0.0918,0.378,107.588,239888,4,Escapism. - Sped Up,84
0.597,0.633,2,-7.101,1,0.105,0.0398,0,0.103,0.358,93.3,214000,4,Ups And Downs,34
0.812,0.448,5,-11.048,1,0.0505,0.11,0.00126,0.0542,0.874,116.557,199560,4,What Does It Take (To Win Your Love),44
0.853,0.649,1,-6.148,1,0.313,0.0538,0.00877,0.361,0.158,75.52,155762,4,Bandzzz,32
0.633,0.938,11,-0.783,1,0.175,3.1e-4,0.253,0.163,0.27,74.871,67175,4,Here It Comes,30
0.83,0.974,1,-0.748,1,0.311,0.0524,5.6e-4,0.741,0.43,143.788,130833,4,Zipper,15
0.564,0.592,0,-6.58,0,0.0473,0.313,1.13e-4,0.232,0.0724,117.748,257962,4,Cassandra,55
0.661,0.937,10,-3.83,0,0.0744,9.67e-4,1.58e-5,0.355,0.535,130.999,249067,4,Judas,45
0.586,0.827,11,-5.103,1,0.151,0.0036,0,0.328,0.514,123.905,260253,4,Born This Way,40
0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-6,0.121,0.787,118.999,237200,4,Poker Face,55
0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,208307,4,Paparazzi,54
0.894,0.678,6,-5.611,0,0.0523,0.00569,2.43e-6,0.317,0.844,105.024,216333,4,LoveGame,54
0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-5,0.181,0.745,118.992,241933,4,Just Dance,53
0.623,0.793,11,-6.63,0,0.0462,3.97e-4,0.0015,0.375,0.36,98.998,274213,4,Alejandro,68
0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-5,0.0842,0.714,119.001,294573,4,Bad Romance,79
0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-5,0.181,0.745,118.992,241933,4,Just Dance,73
0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-6,0.121,0.787,118.999,237200,4,Poker Face,74
0.798,0.636,6,-10.52,1,0.0431,0.327,0,0.128,0.799,139.98,377000,4,Ramta Jogi,54
0.778,0.737,0,-7.073,1,0.195,0.178,6.83e-6,0.0632,0.9,125.031,394162,4,Phir Milenge Chalte Chalte,49
0.334,0.3,2,-12.359,0,0.0377,0.863,1.62e-6,0.195,0.158,147.076,101799,4,Tujh Mein Rab Dikhta Hai - Ii,64
0.884,0.893,5,-6.141,0,0.162,0.138,9.22e-4,0.0614,0.937,128.024,261016,4,Dance Pe Chance,55
0.56,0.604,8,-8.732,1,0.0866,0.315,1.12e-6,0.176,0.75,84.784,281574,4,Tujh Mein Rab Dikhta Hai,68
0.853,0.745,9,-8.636,0,0.109,0.0642,1.87e-6,0.0274,0.882,107.985,359253,4,Tumse Milke Dil Ka,66
0.578,0.482,5,-10.503,1,0.0378,0.219,0,0.55,0.38,139.831,255493,4,Main Hoon Na(Sad),42
0.75,0.861,1,-11.029,1,0.0613,0.0755,0.00586,0.202,0.744,117.593,324053,4,Chale Jaise Hawaien,54
0.734,0.903,0,-3.972,0,0.0649,0.432,0.00569,0.2,0.712,102.009,341147,4,Tumhe Jo Maine Dekha,59
