danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.name,track.popularity
0.935,0.259,1,-11.088,0,0.0517,0.378,4.63e-4,0.0611,0.931,112.019,171696,4,Electric U,61
0.655,0.714,7,-7.78,0,0.0572,0.0512,0.48,0.32,0.131,123.002,210562,4,Food for the Soul,54
0.883,0.584,7,-2.102,0,0.0465,0.0392,4.39e-6,0.0869,0.784,144.975,161067,4,Consideration,72
0.584,0.948,2,-2.247,1,0.0769,0.013,0.00133,0.126,0.398,140.103,218143,4,Die A God,46
0.547,0.695,9,-4.969,1,0.0337,0.108,0.00301,0.14,0.641,144.684,241987,4,'Cause I'm A Man,59
0.502,0.699,5,-5.528,1,0.0333,0.0055,0,0.171,0.354,111.024,185773,4,Love/Paranoia,62
0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,363240,4,"New Person, Same Old Mistakes",76
0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,222920,4,Rude Boy,78
0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-6,0.114,0.799,137.996,221267,4,Day 'N' Nite (nightmare),66
0.775,0.726,9,-5.629,1,0.0369,0.0399,0.0235,0.11,0.206,126.999,185120,4,Stereo Love - Radio Edit,0
0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-5,0.413,0.527,137.046,238920,4,SOS,75
0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,246573,4,Glamorous,68
0.892,0.714,4,-6.055,0,0.141,0.201,2.34e-4,0.0521,0.817,100.972,267267,4,Rock Your Body,73
0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-5,0.682,0.808,119.952,276160,4,My Love (feat. T.I.),69
0.791,0.713,5,-3.742,0,0.254,0.0163,0,0.189,0.514,130.012,192573,4,DONTTRUSTME,50
0.607,0.805,11,-5.579,0,0.0608,0.00175,0,0.231,0.232,139.894,202667,4,STARSTRUKK (feat. Katy Perry),61
0.607,0.783,7,-4.41,1,0.0397,6.83e-4,0,0.0678,0.434,113.172,231173,4,Let It Rock,62
0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,208307,4,Paparazzi,67
0.644,0.939,11,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,208107,4,Paralyzer,71
0.606,0.591,0,-7.228,0,0.087,0.0756,0,0.328,0.477,95.802,252973,4,Summer Love,64
0.738,0.673,10,-3.377,0,0.205,0.0463,0,0.0604,0.565,140.068,250667,4,Kiss Kiss (feat. T-Pain),0
0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,223440,4,My Boo,74
0.943,0.809,5,-4.23,0,0.0483,0.404,0,0.0787,0.96,118.968,213320,4,Smack That,33
0.588,0.391,0,-8.596,0,0.0334,0.839,0,0.195,0.349,144.053,224630,4,Unfaithful,0
0.582,0.57,6,-9.184,1,0.273,0.167,0,0.229,0.595,94.83,206853,4,So Sick,30
0.951,0.597,0,-4.651,0,0.0669,0.104,0,0.0718,0.819,125.024,216467,4,Temperature,0
0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,192213,4,Me & U,71
0.779,0.64,7,-8.415,1,0.159,1.55e-4,7.7e-4,0.101,0.498,99.019,246960,4,Pon de Replay,0
